Date.Local,nyc.ozone.Mean,nyc.ozone.Max.Value,nyc.ozone.Max.Hour,nyc.ozone.AQI,nyc.nitrogen.Mean,nyc.nitrogen.Max.Value,nyc.nitrogen.Max.Hour,nyc.nitrogen.AQI,nyc.pm.Max.Value,nyc.pm.Max.Hour,nyc.pm.Mean,nyc.pm.AQI,nyc.temp.Mean,nyc.temp.Max.Value,nyc.temp.Max.Hour,nyc.rh.Mean,nyc.rh.Max.Value,nyc.rh.Max.Hour
6/10/07,0.019938,0.033,7,31,15.5,48,22,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/11/07,0.020118,0.036,10,33,22.75,45,19,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/12/07,0.014941,0.033,9,31,24.166667,48,19,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/13/07,0.022118,0.025,20,23,13.541667,37,0,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/14/07,0.017412,0.025,8,23,14.5,32,21,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/15/07,0.019529,0.032,11,30,20.791667,46,22,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/16/07,0.024706,0.047,9,44,31.958333,53,23,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/17/07,0.044,0.055,10,51,22.5,49,0,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/18/07,0.025353,0.046,9,43,15.181818,24,21,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/19/07,0.030353,0.039,10,36,20.208333,34,6,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/20/07,0.027118,0.03,11,28,13.875,32,5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/21/07,0.034294,0.047,10,44,10.958333,26,21,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/22/07,0.023529,0.027,10,25,5.458333,9,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/23/07,0.025706,0.031,10,29,4.958333,9,22,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/24/07,0.024941,0.038,10,35,7.083333,21,23,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/25/07,0.026588,0.048,10,44,14.826087,22,23,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/26/07,0.049353,0.074,11,112,13.5,21,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/27/07,0.046059,0.067,10,90,10.5,16,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/28/07,0.034824,0.06,10,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/29/07,0.016941,0.025,12,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/30/07,0.031,0.042,10,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/07,0.022938,0.029,8,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/2/07,0.017353,0.028,10,26,15.714286,31,20,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/3/07,0.033706,0.043,11,40,18.125,30,21,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/4/07,0.025294,0.04,8,37,17,28,22,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/5/07,0.031471,0.039,14,36,24.708333,35,13,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/6/07,0.024235,0.039,9,36,19.958333,35,21,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/7/07,0.031176,0.044,9,41,19.916667,32,20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/8/07,0.050059,0.068,10,93,21.083333,39,23,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/9/07,0.056882,0.079,13,129,27.25,46,4,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/10/07,0.032176,0.063,9,77,30.238095,62,10,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/11/07,0.023824,0.035,8,32,19.75,45,21,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/12/07,0.026176,0.037,10,34,14.083333,40,22,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
