date,particulate matter,pm2.5,pm5,particulate matter pollution,fine particulates,isPartial,particulate matter,air pollution,fine particles,fine inhalable particles,particle pollution,isPartial,particulate matter,wildfires,power plants,industrial pollution,organic carbon,isPartial,particulate matter,traffic,traffic emission,tailpipe,sulfate,isPartial,particulate matter,black carbon,elemental carbon,soot,smog,isPartial,particulate matter,haze,code orange,code red,air pollution alert,isPartial,particulate matter,grey,blue,pink,asthma,isPartial,particulate matter,respiratory illness,respiratory infection,lung disease,bronchitis,isPartial,particulate matter,chronic obstructive pulmonary disease,COPD,lung cancer,cardiovascular disease,isPartial,particulate matter,premature death,Rapid heart rate,rapid pulse,rapid breathing,isPartial,particulate matter,asthma attack,coughing,arrhythmia,wheezing,isPartial,particulate matter,chest tightness,shortness of breath,throat irritation,inhaler use,isPartial,particulate matter,childhood asthma,pediatric asthma,isPartial
2016-02-07,22,22,0,0,0,False,0,80,0,0,0,False,1,1,3,0,1,False,0,42,0,0,5,False,6,24,0,21,49,False,4,87,16,30,0,False,0,13,77,25,2,False,2,0,15,7,63,False,0,0,71,53,7,False,0,0,59,0,60,False,2,4,63,6,11,False,6,9,44,0,9,False,26,0,0,False
2016-02-14,22,22,0,0,0,False,6,44,0,0,0,False,1,1,2,0,1,False,0,40,0,0,4,False,0,25,0,15,18,False,4,72,19,31,0,False,0,14,77,26,2,False,2,2,14,10,63,False,4,0,79,77,13,False,31,0,0,0,0,False,2,3,56,6,14,False,6,13,64,0,6,False,0,0,0,False
2016-02-21,22,0,0,0,0,False,0,78,0,0,0,False,1,1,3,0,1,False,0,41,0,0,5,False,6,21,0,18,36,False,4,75,21,41,0,False,0,14,76,25,2,False,2,2,15,7,57,False,4,11,68,82,21,False,0,30,45,0,0,False,2,2,65,10,14,False,6,28,47,0,6,False,26,0,0,False
2016-02-28,0,21,0,0,0,False,17,87,0,0,0,False,2,0,1,0,1,False,0,41,0,0,4,False,23,12,0,20,35,False,8,55,18,30,0,False,0,14,76,25,2,False,7,2,15,9,54,False,14,0,55,71,14,False,87,0,0,0,43,False,5,5,62,5,10,False,12,24,55,0,12,False,100,0,0,False
2016-03-06,0,0,0,0,0,False,6,59,0,0,0,False,1,1,4,0,1,False,0,42,0,0,3,False,6,12,0,18,44,False,4,92,12,40,0,False,0,13,79,26,2,False,2,0,14,7,67,False,3,0,57,74,9,False,29,0,58,0,58,False,2,5,42,4,13,False,6,12,55,0,9,False,25,0,0,False
2016-03-13,20,0,0,0,0,False,5,46,0,0,0,False,1,1,4,0,1,False,0,51,0,0,4,False,6,14,0,11,28,False,4,51,13,25,0,False,0,12,80,25,2,False,2,2,10,8,51,False,3,3,41,96,8,False,28,0,28,0,0,False,2,4,50,5,8,False,6,9,35,0,9,False,24,0,0,False
2016-03-20,0,0,0,0,0,False,5,65,0,0,0,False,1,1,3,0,1,False,0,47,0,0,3,False,6,14,0,20,46,False,0,68,17,29,0,False,0,13,79,25,2,False,2,2,10,6,46,False,3,0,73,76,10,False,28,0,28,0,28,False,2,5,58,6,8,False,0,12,53,0,12,False,25,0,0,False
2016-03-27,0,20,0,0,0,False,11,67,0,0,0,False,1,1,3,0,1,False,0,53,0,0,4,False,11,11,0,34,31,False,0,69,19,44,0,False,0,13,79,24,2,False,3,0,9,8,53,False,7,5,79,73,5,False,56,0,28,0,56,False,3,4,51,7,9,False,0,29,50,0,0,False,48,0,0,False
2016-04-03,21,0,0,0,0,False,6,26,0,0,0,False,1,1,3,0,0,False,0,44,0,0,3,False,6,21,0,21,24,False,4,70,6,26,0,False,0,13,80,25,2,False,2,3,7,6,46,False,4,0,66,74,12,False,30,0,0,0,30,False,2,4,48,4,10,False,6,15,52,0,6,False,26,0,0,False
2016-04-10,21,0,0,0,0,False,6,53,0,0,0,False,1,1,5,0,1,False,0,41,0,0,4,False,0,18,0,18,38,False,4,94,12,34,0,False,0,13,79,26,2,False,2,0,7,5,42,False,3,3,66,43,9,False,29,0,29,0,0,False,2,3,40,4,8,False,6,21,46,0,6,False,0,0,0,False
2016-04-17,0,0,0,0,0,False,0,73,0,0,0,False,0,1,3,0,1,False,0,41,0,0,5,False,0,11,0,17,34,False,0,74,10,27,0,False,0,13,75,24,2,False,0,2,9,6,46,False,0,0,62,68,10,False,0,0,56,0,42,False,0,5,39,6,11,False,0,12,44,0,6,False,0,0,0,False
2016-04-24,31,0,0,0,0,False,5,47,0,0,0,False,1,0,6,0,1,False,0,39,0,0,5,False,12,14,0,23,29,False,6,75,19,46,0,False,0,14,78,24,2,False,2,0,10,9,42,False,3,0,50,69,9,False,28,0,43,0,29,False,2,3,42,5,9,False,9,12,45,0,6,False,49,0,0,False
2016-05-01,22,0,0,0,0,False,0,66,0,0,0,False,1,3,4,0,2,False,0,38,0,0,3,False,6,18,0,21,36,False,4,51,16,35,0,False,0,12,79,24,2,False,2,2,11,5,47,False,0,4,63,56,11,False,0,0,60,0,30,False,2,7,34,4,10,False,6,16,47,0,6,False,26,0,0,False
2016-05-08,0,0,0,0,0,False,0,59,0,0,0,False,0,3,2,0,2,False,0,41,0,0,4,False,0,9,0,19,31,False,0,58,12,31,0,False,0,12,78,23,2,False,0,0,11,9,29,False,0,0,62,82,11,False,0,31,31,0,30,False,0,2,46,4,6,False,0,29,45,0,6,False,0,0,0,False
2016-05-15,0,0,0,0,0,False,0,29,0,0,0,False,0,1,2,0,1,False,0,43,0,0,4,False,0,6,0,9,36,False,0,70,8,30,0,False,0,12,82,24,2,False,0,2,8,4,41,False,0,0,66,73,7,False,0,0,45,0,88,False,0,4,45,6,8,False,0,9,65,0,12,False,0,0,0,False
2016-05-22,0,0,0,0,0,False,12,33,0,0,0,False,1,1,1,0,1,False,0,50,0,0,3,False,0,16,0,13,45,False,8,68,30,43,0,False,0,12,80,25,2,False,0,2,8,5,36,False,0,0,38,55,6,False,62,0,63,0,31,False,3,4,37,6,7,False,13,30,53,0,0,False,0,0,0,False
2016-05-29,0,0,0,0,0,False,0,6,0,0,0,False,0,1,2,0,1,False,0,45,0,1,3,False,0,26,0,20,36,False,0,69,26,35,0,False,0,14,85,26,1,False,0,0,8,6,36,False,0,0,62,60,4,False,0,0,32,0,32,False,0,4,46,6,5,False,0,40,33,0,0,False,0,0,0,False
